City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,San Patricio,US,28.017,-97.5169,77.09,25,0,9.04,clear sky
222,Joensuu,FI,62.6012,29.7632,46.89,90,90,6.91,overcast clouds
223,Natal,BR,-5.795,-35.2094,77.65,88,40,12.66,scattered clouds
224,Rawson,AR,-43.3002,-65.1023,60.39,52,49,5.95,scattered clouds
225,Jumla,NP,29.2747,82.1838,41.59,60,1,4.25,clear sky
226,Griffith,US,41.5284,-87.4237,55.4,95,90,1.01,light rain
227,Forestville,US,38.8451,-76.875,61.07,95,90,6.91,overcast clouds
228,Bertoua,CM,4.5833,13.6833,67.62,97,96,2.98,overcast clouds
229,Hami,CN,42.8,93.45,47.55,43,21,1.32,few clouds
230,Puerto Escondido,MX,15.85,-97.0667,82.29,80,36,4.5,scattered clouds
231,Marzuq,YE,14.4,46.4667,67.62,49,7,2.06,clear sky
232,Anzio,IT,41.4853,12.6179,60.12,67,98,3.8,overcast clouds
233,Laguna,US,38.421,-121.4238,78.69,62,1,1.99,clear sky
234,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,6.91,broken clouds
235,Tabas,IR,33.5959,56.9244,61.29,29,37,2.06,scattered clouds
236,Hovd,MN,48.0056,91.6419,31.3,52,12,5.1,few clouds
237,Heyang,CN,26.1011,107.473,53.67,94,67,3.15,broken clouds
238,Krasnyy Yar,RU,46.5331,48.3456,48.13,72,92,6.58,overcast clouds
239,Usinsk,RU,65.9939,57.5281,8.55,94,75,7.25,broken clouds
240,Vila Franca Do Campo,PT,37.7167,-25.4333,73.2,93,84,15.93,broken clouds
241,Leh,IN,34.1667,77.5833,24.8,64,41,2.08,scattered clouds
242,Nanortalik,GL,60.1432,-45.2371,35.13,81,95,7.63,overcast clouds
243,Belgrade,RS,44.804,20.4651,53.46,60,0,1.99,clear sky
244,Flin Flon,CA,54.7682,-101.865,39.04,65,40,4.61,scattered clouds
245,Zyryanka,RU,65.75,150.85,6.73,93,99,4.16,overcast clouds
246,Acapulco,MX,16.8634,-99.8901,81.19,82,15,4.36,few clouds
247,Lebanon,US,36.2081,-86.2911,55.49,75,90,0.0,light rain
248,Likasi,CD,-10.9814,26.7333,70.34,50,95,1.32,overcast clouds
249,La Linea,AR,-27.6243,-55.0388,62.8,91,48,2.8,scattered clouds
250,Saskylakh,RU,71.9167,114.0833,-8.79,96,99,9.15,overcast clouds
251,Pitimbu,BR,-7.4706,-34.8086,77.59,72,60,15.01,broken clouds
252,Wad Madani,SD,14.4012,33.5199,87.64,28,67,7.96,broken clouds
253,Khani,GE,41.9563,42.9566,42.37,88,95,2.8,overcast clouds
254,Strezhevoy,RU,60.7333,77.5889,19.38,87,100,18.07,overcast clouds
255,Oktyabrskoye,RU,43.0645,44.7417,28.54,100,78,6.71,broken clouds
256,Birin,NP,26.8865,88.0718,51.46,69,1,5.57,clear sky
257,Saldanha,ZA,-33.0117,17.9442,59.05,92,0,8.52,clear sky
258,Wagar,SD,16.1525,36.2032,79.84,56,0,9.64,clear sky
259,Rincon,US,32.296,-81.2354,64.85,77,69,7.23,broken clouds
260,Norman Wells,CA,65.282,-126.8329,23.92,97,100,3.83,overcast clouds
261,Ciudad Bolivar,VE,8.1222,-63.5497,79.56,80,88,7.99,overcast clouds
262,Huescar,ES,37.811,-2.5412,59.13,61,100,9.48,overcast clouds
263,Chernyshevskiy,RU,63.0128,112.4714,11.52,91,97,3.53,overcast clouds
264,El Angel,EC,0.6167,-77.9333,45.81,90,76,1.66,light rain
265,Tasiilaq,GL,65.6145,-37.6368,13.86,71,59,7.49,broken clouds
266,Conakry,GN,9.538,-13.6773,75.36,89,100,11.18,light rain
267,Berlevag,NO,70.8578,29.0864,39.69,77,65,29.82,broken clouds
268,Bathsheba,BB,13.2167,-59.5167,79.52,74,25,11.32,scattered clouds
269,Constitucion,CL,-35.3333,-72.4167,58.08,72,90,15.43,overcast clouds
270,Bafq,IR,31.6128,55.4107,60.58,26,34,1.05,scattered clouds
271,Romny,UA,50.751,33.4747,41.68,85,4,6.04,clear sky
272,Narsaq,GL,60.9167,-46.05,28.62,78,92,4.16,overcast clouds
273,Victoria,HK,22.2855,114.1577,77.05,89,86,1.01,overcast clouds
274,Horsham,GB,51.064,-0.3272,57.25,89,20,4.61,few clouds
275,Ternate,ID,0.8,127.4,81.68,77,98,6.17,overcast clouds
276,Cervo,ES,43.6702,-7.4101,54.97,85,100,7.02,light rain
277,Luanda,AO,-8.8368,13.2343,75.94,86,100,10.96,overcast clouds
278,Mount Gambier,AU,-37.8333,140.7667,56.44,50,59,9.57,broken clouds
279,Fereydunshahr,IR,32.941,50.121,39.97,86,66,5.88,light rain
280,Nova Soure,BR,-11.2333,-38.4833,70.29,72,30,6.53,scattered clouds
281,Mindelo,CV,16.8901,-24.9804,75.11,79,99,17.27,overcast clouds
282,Sabang,ID,5.8933,95.3214,78.17,84,100,15.23,light rain
283,Kenora,CA,49.8167,-94.4337,46.38,93,30,5.99,scattered clouds
284,Goderich,CA,43.7501,-81.7165,52.92,83,100,24.99,light rain
285,Baherden,TM,38.4362,57.4316,53.76,43,55,3.83,broken clouds
